"year","crop","area","production","yield","prop_area"
1961,"Rape and mustard",2883,1347,0.4672,0.0191027617663769
1961,"Rice",34694,53494.496,1.5419,0.229882489324551
1961,"Rubber, natural",45,26.992,0.5998,0.000298170058788401
1961,"Safflower",440,66,0.15,0.00291544057481993
1961,"Sesame seed",2252,372,0.1652,0.0149217549420329
1961,"Sorghum",18249.008,8029,0.44,0.120917950848667
1961,"Soybean",11,5,0.4545,7.28860143704981e-05
1961,"Spices, nes",NA,163,NA,NA
1961,"Sugarcane",2413,110001.008,45.5868,0.0159885411523647
1961,"Sweet potatoes",163,1261,7.7362,0.00108003821294465
1961,"Tea",331.229,354.397,1.0699,0.00219472378672052
1961,"Tobacco, unmanufactured",401,307,0.7656,0.00265702652386998
1961,"Tomatoes",50,464,9.28,0.000331300065320446
1961,"Vegetables, fresh nes",1860,12100,6.5054,0.0123243624299206
1961,"Walnuts, with shell",14,12,0.8571,9.27640182897249e-05
1961,"Watermelons",6.5,71,10.9231,4.3069008491658e-05
1961,"Wheat",12927,10997,0.8507,0.0856543188879481
1962,"Anise, badian, fennel, coriander",90,45,0.5,0.000582163484973963
1962,"Apples",38.5,160,4.1558,0.000249036601905528
1962,"Apricots",2.7,8.3,3.0741,1.74649045492189e-05
1962,"Areca nuts",135,120,0.8889,0.000873245227460944
1962,"Bananas",181,2425,13.3978,0.0011707954531143
1962,"Barley",3312,3150,0.9511,0.0214236162470418
1962,"Bastfibres, other",612,392.7,0.6417,0.00395871169782295
1962,"Beans, dry",6725.782,1804.505,0.2683,0.0435056076477239
1962,"Beans, green",81,186,2.2963,0.000523947136476566
1962,"Berries nes",NA,1,NA,NA
1962,"Cabbages and other brassicas",22,295,13.4091,0.000142306629660302
1962,"Carrots and turnips",8.5,70,8.2353,5.49821069142076e-05
1962,"Cashew nuts, with shell",200,88,0.44,0.00129369663327547
1962,"Cassava",265,1892,7.1396,0.00171414803909
1962,"Castor",469,99,0.2111,0.00303371860503098
1962,"Cauliflowers and broccoli",40,400,10,0.000258739326655094
1962,"Cherries",1.2,3.1,2.5833,7.76217979965283e-06
1962,"Chickpea",9566,5785,0.6047,0.0618775099695658
1962,"Chillies and peppers, dry",637,425,0.6672,0.00412042377698238
1962,"Chillies and peppers, green",2.87,17.2,5.993,1.8564546687503e-05
1962,"Cocoa, beans",NA,NA,NA,NA
1962,"Coconuts",793,3727.631,4.7007,0.00512950715093725
1962,"Coffee, green",115,46,0.4,0.000743875564133397
1962,"Coir",NA,186.4,NA,NA
1962,"Cotton",7845,3353,0.4274,0.0507452504402304
1962,"Cucumbers and gherkins",5.9,29.5,5,3.81640506816264e-05
1962,"Dry peas",1258.15,1103.43,0.877,0.00813832209577768
1962,"Eggplants (aubergines)",156,1050,6.7308,0.00100908337395487
1962,"Figs",0.9,2,2.2222,5.82163484973963e-06
1962,"Fruit, citrus nes",2.5,25,10,1.61712079159434e-05
1962,"Fruit, fresh nes",135,860,6.3704,0.000873245227460944
1962,"Fruit, stone nes",NA,0.5,NA,NA
1962,"Fruit, tropical fresh nes",235,1520,6.4681,0.00152009354409868
1962,"Garlic",38,137,3.6053,0.00024580236032234
1962,"Ginger",21,20,0.9524,0.000135838146493925
1962,"Grapefruit (inc. pomelos)",1.5,20,13.3333,9.70272474956604e-06
1962,"Grapes",4.6,75,16.3043,2.97550225653359e-05
1962,"Groundnut",7283,5064,0.6953,0.0471099629007263
1962,"Jute",847,979.6,1.1566,0.00547880524192163
1962,"Lemons and limes",47,450,9.5745,0.000304018708819736
1962,"Lentils",770.915,340.377,0.4415,0.0049866507002078
1962,"Lettuce and chicory",58,265,4.569,0.000375172023649887
1962,"Linseed",1977,463,0.2342,0.012788191219928
1962,"Maize",4643,4607,0.9922,0.0300331673414901
1962,"Mangoes, mangosteens, guavas",850,6988,8.2212,0.00549821069142076
1962,"Melons, other (inc.cantaloupes)",9.8,135,13.7755,6.33911350304982e-05
1962,"Millet",18218,7855,0.4312,0.117842826325063
1962,"Mushrooms and truffles",NA,0.5,NA,NA
1962,"Nutmeg, mace and cardamoms",56,4,0.0714,0.000362235057317132
1962,"Okra",158,790,5,0.00102202034028762
1962,"Onions",120,1230,10.25,0.000776217979965283
1962,"Oranges",54,670,12.4074,0.000349298090984378
1962,"Other oilseeds",480,101,0.2104,0.00310487191986113
1962,"Other pulses",3220,1335,0.4146,0.0208285157957351
1962,"Papayas",7,232,33.1429,4.52793821646415e-05
1962,"Peaches and nectarines",9,39,4.3333,5.82163484973963e-05
1962,"Pears",6.2,37,5.9677,4.01045956315396e-05
1962,"Peas, green",62,550,8.871,0.000401045956315396
1962,"Pepper (piper spp.)",102,26,0.2549,0.000659785282970491
1962,"Pigeonpea",2447,1367,0.5586,0.0158283783081254
1962,"Pineapples",9.2,100,10.8696,5.95100451306717e-05
1962,"Plums and sloes",3.2,13,4.0625,2.06991461324076e-05
1962,"Poppy seed",NA,1,NA,NA
1962,"Potato",365,2447,6.7041,0.00236099635572774
1962,"Pumpkins, squash and gourds",133,870,6.5414,0.000860308261128189
1962,"Rape and mustard",3168,1346,0.4249,0.0204921546710835
1962,"Rice",35695.008,49825.552,1.3959,0.230892558371705
1962,"Rubber, natural",52,31.357,0.603,0.000336361124651623
1962,"Safflower",445,67,0.1506,0.00287847500903793
1962,"Sesame seed",2552,492,0.1928,0.016507569040595
1962,"Sorghum",18414,9748,0.5294,0.119110649025673
1962,"Soybean",11,5,0.4545,7.1153314830151e-05
1962,"Spices, nes",230,161,0.7,0.00148775112826679
1962,"Sugarcane",2456,103967.008,42.3318,0.0158865946566228
1962,"Sweet potatoes",138,858,6.2174,0.000892650676960076
1962,"Tea",332.524,346.736,1.0427,0.00215092589641647
1962,"Tobacco, unmanufactured",418,339,0.811,0.00270382596354574
1962,"Tomatoes",52,480,9.2308,0.000336361124651623
1962,"Vegetables, fresh nes",2105,12700,6.0333,0.0136161570652243
1962,"Walnuts, with shell",14,12,0.8571,9.05587643292831e-05
1962,"Watermelons",6.8,75,11.0294,4.39856855313661e-05
1962,"Wheat",13570,12072,0.8896,0.0877773165677408
